"2013-04-01","Programming","Languages","Ruby","How do you print leading zeros?",,"source"
"2013-04-11","Machine Learning","Transfer Learning",,"What are the two stages of transfer learning?","the first is to generate learning based on a wide set of data, including data gathered from outside a campaign (before a campaign starts, there is no data to learn from it, so we have to use something). the second is to use the scores of several algorithms run in stage one, and combine those scores with information about the user, to generate scores for user",
"2013-04-11","Machine Learning","Transfer Learning",,"What is transfer learning?","learning that is done for a task that doesn't exactly match the target task, but is still useful in improving the learning of the target task",
"2013-04-11","Machine Learning","Transfer Learning",,,,
"2013-04-11","Machine Learning","Transfer Learning",,,,
"2013-04-11","Machine Learning","Transfer Learning",,,,
"2013-04-11","Machine Learning","Transfer Learning",,,,
"2013-04-09","Machine Learning","Vectorized Implementation",,"What is the prediction formula in vectorized form?","prediction = theta` * x (` means transpose)",
"2013-04-09","Machine Learning","Vectorized Implementation",,"What is the gradient descent equation in vectorized form?","theta = theta - alpha * delta. delta = 1/m * sum from i=1 to m of (h_theta(x_i) - y_i) * x_i",
"2013-06-06","Machine Learning",,,"What are the three components of learning, and what questions do they pose?","Representation (how do we define our classifier?), Evaluation (do we know whether the classifier is good or bad?), Optimization (how do we search among an infinite space of optimizations? Greedy search, gradient descent).","DS notes page 35"
"2013-06-06","Machine Learning",,,"What are the two types of machine learning?","Classification (categorical answers) and regression (numeric answers). Though I'm confused because logistic regression is used for classification.","DS notes, page 35"
"2013-06-06","Machine Learning",,,"What is the 1-Rule algorithm?","On the training set, look at one attribute of all data points and observe its value and classification. Count how often each classification appears. Then find the most frequent classification and make rule, if attribute = value, then class = c.","DS lecture, 03 Rules Part 1"
"2013-06-06","Machine Learning",,,"What's the difference between statistics and Machine Learning?","Statistics creates stochastic models that try to imitate real-world effects. Machine learning takes inputs and outputs and generates a system that makes the output match the inputs based on what it has learned.","DS notes, page 35"
"2013-05-04","Machine Learning",,,"What does the Receiver Operating Characteristic curve describe?","It illustrates the performance of a binary classifier system as its discrimination threshold is varied.","source"
"2013-04-08","Machine Learning",,,"How is the hypothesis function represented?","It is either a linear, quadratic, or other degree of polynomial function","source"
"2013-04-08","Machine Learning",,,"What are features of a classifier?","Characteristics of data points, as in cancer analysis, it may be age, size of tumor, clusters of tumors, etc.","source"
"2013-04-08","Machine Learning",,,"What are input variables?","Another word for features","source"
"2013-04-08","Machine Learning",,,"What are the hypothesis function coefficients represented by?","theta","source"
"2013-04-08","Machine Learning",,,"What is another expression for the hypothesis function?","h(x) = sum from i to n of (theta_i * x_i)","source"
"2013-04-08","Machine Learning",,,"What is the hypothesis function?","It is the function that maps input variables to output variables. It is used in linear regression","source"
"2013-04-08","Machine Learning",,,"What is the vector notation of the hypothesis function?","theta transposed * X","source"
"2013-04-10","Math","Linear Algebra",,"What is a non-invertible matrix, and how can it come about?","Also known as singular or degenerate, non-invertable matrixes have no inverse. Non-square matrices are usually non-invertible (but may have left- or right inverses). ",
"2013-04-11","Math","Probability","Bayesian Statistics","What is Bayes' rule?","p(x|y) = p(y|x) * p(x) / p(y)",
"2013-04-11","Math","Probability","Bayesian Statistics","Where does Bayes' rule come from?","p(x|y) = p(x & y) / p(y) and hence p(y|x) = p(x & y) / p(x)",
"2013-05-30","Math","Probability","Bayesian Statistics","What is a conjugate prior?","THe question is whether or not a conjugate prior exists for a liklihood function. (I don't fully understand how this is useful, but bear with me.) if the posterior distribution and the prior distribution are in the same family as the prior probability distribution, then the prior and posterior are conjugate distrubutions, and the prior is a conjugate prior for the liklihood.",
"2013-05-30","Math","Probability","Bayesian Statistics","What is the liklihood function?","It describes the liklihood that, given a set of observations, the parameters are biased in a certain way. I'm still not really sure what it's used for. It isn't the probability of a parameter, though.",
"2013-06-13","Math","Probability",,"What is Bayes' rule?","6/13","source"
"2013-04-29","PGM","Bayesian Networks",,"What is time invariance?","It means that it doesn't matter when the observations are made, the effects are the same. i.e. if X(t) = Y(t), then X(t + delta) = Y(T + delta)",
"2013-04-29","PGM","Bayesian Networks",,"How do deterministic functions affect independence in Bayesian networks?","if a node B is deterministic and influenced by A, then A's value determines what B is.",
"2013-04-29","PGM","Bayesian Networks",,"What does a double-circle in a network graph indicate?","That the independence of that node is conditional, I think",
"2013-04-24","PGM","Bayesian Networks",,"What are the two types of factor reduction?","When you reduce out a variable by choosing one value for it (marginalization?), and when you reduce out a variable by normalizing the remaining variables over all values of the variable you want to remove (renormalization?)",
"2013-04-24","PGM","Bayesian Networks",,"How do you draw a graph where two nodes are conditional upon each other?","I guess this just wouldn't be a bayesian network?",
"2013-04-22","PGM","Bayesian Networks",,"Given a bayesian network, what would the CPDs look like?","Each node of the graph has a CPD. The CPD is the distribution of probabilities for that node, across all the variables which influence that node.",
"2013-04-22","PGM","Bayesian Networks",,"What is the chain rule for Bayesian Networks?","It is a factor product. It is written as the product of each CPD. P(X_i,...,X_n) = Pi(P(X_i | Parents_G(X_i)). For example, P(A,B,C) = P(A|B,C)P(B|C)P(C)",
"2013-04-22","PGM","Bayesian Networks",,"Why is the Bayesian network a legal distribution?","Because P >= 0, and Sigma(P) = 1",
"2013-04-22","PGM","Bayesian Networks",,"What does well-defined mean?","It means the distribution sums to 1 over all examples",
"2013-04-22","PGM","Bayesian Networks",,"What is causal reasoning?","When you observe a cause, and see what that does to the probability of the effect.",
"2013-04-22","PGM","Bayesian Networks",,"What is evidential reasoning?","When you observe an effect, and see what that does to the probability of the cause.",
"2013-04-22","PGM","Bayesian Networks",,"What is intercausal reasoning?","When you observe one variable, and then observe another, and see what that second observation does to a given cause or affect.",
"2013-04-22","PGM","Bayesian Networks",,"What is explaining away?","It is when one cause is understood to be sufficient explanation for a certain phenomena--this changes the probability that it can be attributed to another phenomena, I thikn.",
"2013-04-22","PGM","Bayesian Networks",,"In what networks can X influence Y?","X -> Y, X <- Y, X -> W -> Y, X <- W <- Y",
"2013-04-22","PGM","Bayesian Networks",,"When can it not?","X -> W <- Y, also called a v-structure",
"2013-04-22","PGM","Bayesian Networks",,"When is a trail active?","When it has no v-structures",
"2013-04-22","PGM","Bayesian Networks",,"When can X influence Y given evidence about Z?","X->Y, X<-Y, X->W->Y (when W is not in Z, not when it is), X<-W<-Y (when W is not in Z, not when it is), X<-W->Y (when W is not in Z, not when it is), X->W<-Y (when W or one of it descendants IS in Z, not when it is not)",
"2013-04-22","PGM","Bayesian Networks",,"What is the definition of when a trail is active?","A trail X_1 - ... - X_n is active given Z if for any v-structure X_i-1 -> X_i <- X_i+1, we have that X_i or one of its descendants is in Z (is observed), and no other X_i is observed.",
"2013-04-22","PGM","Bayesian Networks",,"What is the definition of independence?","P satisfies A is independent from B if P(A,B) = P(A)P(B), P(A|B) = P(A), and P(B|A) = P(B). each of these is equivalent.",
"2013-04-22","PGM","Bayesian Networks",,"What is conditional independence?","When knowledge about some other variable C influences P(A|B)",
"2013-04-22","PGM","Bayesian Networks",,"How can variables lose their independence?","sometimes, gaining knowledge about other variables will cause variables to lose independence, as in v-structures.",
"2013-04-22","PGM","Bayesian Networks",,"Can variables be independent conditional on knowing one value of a variable, but lose its independence upon knowing another value of that variable?","pretty sure yes, but the arithmetic doesn't seem to check out.",
"2013-04-22","PGM","Bayesian Networks",,"What independence assumption does Naive Bayes make?","given the class variables, each observed variable is independent of the other observed variables",
"2013-04-22","PGM","Bayesian Networks",,"What is the odds ratio?","probability that the class is c1 given x_1,...,x_n divided by probability that the class is c_2 given x_1,...,x_n. not sure what this is useful for, though.",
"2013-04-22","PGM","Bayesian Networks",,"What is one reason Naive Bayes is so powerful?","Because we only have to think about pairwise interactions between the class variable and individual features",
"2013-04-22","PGM","Bayesian Networks",,"What is the independence assumption made in Naive Bayes?","Given a class, all features X_i and X_j are independent from each other",
"2013-04-22","PGM","Bayesian Networks",,"What is Bernoulli Naive Bayes?","When each feature takes a value of 0 or 1",
"2013-04-22","PGM","Bayesian Networks",,"What is multinomial Naive Bayes?","When each feature takes one of many values",
"2013-04-22","PGM","Bayesian Networks",,"When is Naive Bayes useful?","When there are many features and each one is weakly relevant",
"2013-04-22","PGM","Bayesian Networks",,"When is Naive Bayes not useful?","When the independence assumptions made are not correct; that is when features are actually strongly correlated",
"2013-04-22","PGM","Bayesian Networks",,"What does the independence assumption make possible?","The statement that P(C,X_1,...,X_n) = P(C) * product over all X's( P(X_i given C))",
"2013-04-22","PGM","Bayesian Networks",,"What was learned from the Pathfinder medical diagnosis?","Don't use zero probabilities--even if an event is rare, it is still possible, and zeros screw up predictions",
"2013-04-22","PGM","Bayesian Networks",,"What is an independent parameter?","In a CPD P(X|Y_1,...,Y_r), if each Y_i has k_i values, then we have a total of k_1*...*k_r*(m-1) independent parameters. I guess the parameters refers to the number of different values that can be entered as parameters to the equation that are independent from each other. it only applies to the graphical models of nodes that are conditional upon other nodes. if the node affects another node, then the affecting node is not affected by the affected node's paramters.",
"2013-04-22","PGM","Bayesian Networks",,"What is an I-map?","a map K is an independence map of G if every independence relationship in K is also in G",
"2013-04-22","PGM","Bayesian Networks",,"What are the rules you need to apply when finding conditional probabilities given some other conditional probabilities?","law of total probability, bayes' theorem, definition of conditional probability",
"2013-05-09","PGM","Bayesian Networks",,"How do you get the marginal factor from a group of factors, and with evidence?","Programming assignment 1",
"2013-05-09","PGM","Bayesian Networks",,"How can you vectorize your code? What functions can you use?","Programming assignment 1",
"2013-05-09","PGM","Bayesian Networks",,,,
"2013-05-09","PGM","Bayesian Networks",,,,
"2013-05-09","PGM","Bayesian Networks",,,,
"2013-05-09","PGM","Bayesian Networks",,,,
"2013-05-09","PGM","Bayesian Networks",,,,
"2013-06-06","PGM","Decision Theory","DT Maximum Expected Utility","Do action nodes have CPDs?","The actions themselves don't, but we create decision rules that do, in order to capture the randomness of information nodes. Still not sure what this CPD looks like.",
"2013-06-03","PGM","Decision Theory","DT Maximum Expected Utility","What is the value of delta^*_A?","1 if a is equal to the argmax of A for mu(A,z), 0 otherwise","PGM notes, page 46"
"2013-06-03","PGM","Decision Theory","DT Maximum Expected Utility","What do we use Z for?","Z is the parents of the action variables; the observations prior to A. This encapsulates information, I think. i.e. they are the information nodes","PGM notes, page 46"
"2013-06-03","PGM","Decision Theory","DT Maximum Expected Utility","Why is U only a function of the action and the state of the world?","Because that's how the utilty function is defined.","PGM notes, page 45"
"2013-06-03","PGM","Decision Theory","DT Maximum Expected Utility","How do we choose decision rules?","We find the decision rule which gives us the highest utility function value.","PGM notes, page 45"
"2013-06-03","PGM","Decision Theory","DT Maximum Expected Utility","What are information nodes?","They are nodes which influence action nodes","PGM notes, page 45"
"2013-06-03","PGM","Decision Theory","DT Maximum Expected Utility","Do action nodes have CPDs?","The actions themselves don't, but we create decision rules that do, in order to capture the randomness of information nodes","PGM notes, page 45"
"2013-06-03","PGM","Decision Theory","DT Maximum Expected Utility","What is the expected utility function?"," it is defined as EU[D[a]]=sum(over all states of the world) of P(state of world|action) * utility(state of world,action)","PGM notes, page 44"
"2013-06-03","PGM","Decision Theory","DT Maximum Expected Utility","What is a utility function?","it is a function U of states of the world (X) and possible actions (A).","PGM notes, page 44"
"2013-06-03","PGM","Decision Theory","DT Utility Functions","What is a micromort?","The value of a one in a million chance of death. $20 in 1980.",
"2013-06-03","PGM","Decision Theory","DT Utility Functions","What is the st petersburg paradox?","the game is this: flip a coin n times until it lands heads, and pay out 2^n. What should people pay to play? The payout value is potentially infinite, but most people will only pay $2","PGM notes, page 46"
"2013-06-03","PGM","Decision Theory","DT Utility Functions","If the variables T, K, D, L, and F are all binary valued variables, and the utility function is decomposed into U(T)+U(K)+U(D,L)+U(L,F), how many different utility values have to be elicited to characterize the utility function?","12",
"2013-06-03","PGM","Decision Theory","DT Value of Perfect Information","Consider the example of choosing between a job offered at two companies. Funding determines utility, state of the company determines funding, but we can't observe the state of the company directly. If we have a mole at one company, what determines how valuable that company is?","if there is a large difference in the chance of getting funding or not (based on the state of the company), then the value of information is higher. If the difference in expected utility between the two companies is high, the value of information is lower, as it only would change your mind about what company to choose in rare situations.","PGM notes, page 47"
"2013-06-03","PGM","Decision Theory","DT Value of Perfect Information","You just saw that the optimal decision only changes our mind if the second company is doing very well (s3). Recall that this only happens with prior probability 0.1. Do you think VPI will be high or low in this case?","The basic idea is that the gain in utility in this case has to be weighted by the probability of the state of the world that brings about that gain (i.e. the second company is doing very well). Because the probability of s3 is not very large we should not expect a very large gain in expected utility so the value of the information will likely be small.",
"2013-05-23","PGM","Belief Propagation","Clique Tree Algorithm","What is a clique tree?","It is an undirected tree. nodes are clusters, and edges between nodes are sepsets","PGM notes, page 37"
"2013-05-23","PGM","Belief Propagation","Clique Tree Algorithm","What is the correct expression for a given message from one cluster to another?","sum of all psi's over all variables not included in the next cluste, times the prior message","PGM notes, page 37"
"2013-05-23","PGM","Belief Propagation","Clique Tree Algorithm","When your factors are CPD's, how many cliques will they be assigned to?","only one","PGM notes, page 37"
"2013-05-23","PGM","Belief Propagation","Clique Tree Algorithm","How does the running intersection property change when you consider clique trees?","There is only one unique path from one node to the next. (Although I thought this was the case before.)","PGM notes, page 37"
"2013-05-23","PGM","Belief Propagation","Clique Tree Algorithm","Are the resulting beliefs from the clique tree algorithm correct?","yes","PGM notes, page 37"
"2013-05-23","PGM","Belief Propagation","Clique Tree Computation","Why does delta(B) never change?","Because the sum over A of psi1 is always the same","PGM notes, page 38/39"
"2013-05-23","PGM","Belief Propagation","Clique Tree Computation","What's the order in which messages are passed?","From leaf inward. for each node, no message is passed until all are received.","PGM notes, page 38/39"
"2013-05-23","PGM","Belief Propagation","Clique Tree Computation","How do we get the posterior distribution of variables appearing together in a clique?","By summing out irrelevant variables from any other clique containing the variables we want. If we get evidence Z=z, and if X appears in clique with Z, multiply that clique by indicator function, re-normalize","PGM notes, page 38/39"
"2013-05-23","PGM","Belief Propagation","Clique Tree Computation","How do we get the posterior distribution of variables that do not appear together in a clique?","Follow the same as for variables that do appear together, but apply this to all messages that affect the node we're interested in.","PGM notes, page 38/39"
"2013-05-23","PGM","Belief Propagation","Properties of BP","What does it mean to say that a cluster graph is calibrated?","If every pair of adjacent clusters Ci,Cj agree on their sepset Sij; sum of all beliefs are the same","PGM notes, page 36"
"2013-05-23","PGM","Belief Propagation","Properties of BP","What is a sepset?",,
"2013-05-23","PGM","Belief Propagation","Properties of BP","What happens at the convergence of belief propagation?","cluster graph beliefs are calibrated","PGM notes, page 37"
"2013-05-23","PGM","Belief Propagation","Properties of BP","What do we get as a result of cluster graph beliefs?","We get an alternative, calibrated parameterization of the unnormalized density (the unnormalized probability), because when we divide the cluster beliefs by the sepset beliefs, we get the product of all psi's, which is the unnormlaized measure","PGM notes, page 37"
"2013-05-21","PGM","Belief Propagation","Properties of Cluster Graphs","What is the Running Intersection Property?","For clusters that contain X, there's a path that contain X between those clusters. These paths must be unique--that is, paths can't form a loop.","PGM notes, page 35"
"2013-05-21","PGM","Belief Propagation","Properties of Cluster Graphs","What is the Family Preservation property?","It says that for every factor in the set of factors, there is a cluster such that the scope of that factor is equal to the cluster.","PGM notes, page 35"
"2013-05-21","PGM","Belief Propagation","Properties of Cluster Graphs","What is a Bethe cluster graph?","It is a graph that makes clusters out of all factors, and also adds singleton factors for each one","PGM notes, page 35"
"2013-05-21","PGM","Belief Propagation",,"What problem does belief propagation solve?","In markov graphs, we may have a group of factors that assign different values to random variables, and these values might not match between factors. belief propagation reconciles the factor differences.","PGM notes, page 33"
"2013-05-21","PGM","Belief Propagation",,"What is the belief propagation algorithm?","1. Assign each factor to a cluster. 2. Construct initial potentials. 3. Initialize all messages to 1. 4. Repeat: select edge and pass delta as defined in notes. 4. Compute beliefs using formula in notes--don't create feedback loops","PGM notes, page 34"
"2013-05-21","PGM","Belief Propagation",,"How useful is belief propagation?","It may not always converge, and the resulting beliefs are pseudo-marginals. But it's fast, I guess.","PGM notes, page 35"
"2013-05-24","PGM","Belief Propagation","BP in Practice","How do you construct a clique tree given a graph?",,
"2013-05-24","PGM","Belief Propagation","BP in Practice","What is the best type of BP?","Asynchronous with smoothing","PGM notes, page 41"
"2013-05-24","PGM","Belief Propagation","BP in Practice","What is informed message scheduling?","It uses tree reparameterization in order to calibrate messages.","PGM notes, page 41"
"2013-05-24","PGM","Belief Propagation","BP in Practice","What is message dampening?","using a different formula in computing messages; using weights to create new messages","PGM notes, page 41"
"2013-05-24","PGM","Belief Propagation","Clique Tree Independence","What is the theorem given in this section?","That a tree T satisfies the RIP if and only if all variables on ones side of the sepset are independent from all variables on the other side given the sepset variables.","PGM notes, page 39"
"2013-05-24","PGM","Belief Propagation","Clique Tree Independence","What is the minimal complexity incurred by any clique tree?","I guess it's the minimal amount of variables needed to create a sepset that makes two nodes independent","PGM notes, page 39"
"2013-05-24","PGM","Belief Propagation","Clique Trees and VE","When do we use Variable Elimination?","I think it's to create beliefs about factors. as we propagate through the tree and generate cliques, we build beliefs","PGM notes, page 40"
"2013-05-24","PGM","Belief Propagation","Clique Trees and VE","Why do we iterate over all variables in VE? What is left if we go through them all?","We're actually iterating over the variables to gain beliefs about them across all variables--I think variable elimination is necessary in order to gain fine-grained understanding of individual factors, over all other factors","PGM notes, page 40"
"2013-05-24","PGM","Belief Propagation","Clique Trees and VE","Why does VE induce a tree? Why does it satisfy family preservation and RIP?","it's a tree because each cluster has one parent; it's family preserving because each factor is used in some elimination step and therefor included in scope of associated psi; it obeys RIP because you know, because, it's a theorem.","PGM notes, page 40"
"2013-05-24","PGM","Belief Propagation","Clique Trees and VE","What is the cost of VE?","About the same as passing messages in one direction","PGM notes, page 40"
"2013-05-24","PGM","Belief Propagation","Loopy BP and Message Decoding","What coding theories use belief propagation?","Turbo codes, low-density parity checking codes","PGM notes, page 42"
"2013-05-24","PGM","Belief Propagation","Loopy BP and Message Decoding","What type of belief propagation is used in turbo codes?","Loopy","PGM notes, page 42"
"2013-05-24","PGM","Belief Propagation","Loopy BP and Message Decoding",,,
"2013-05-24","PGM","Belief Propagation","Loopy BP and Message Decoding",,,
"2013-05-28","PGM","MAP Estimation","Finding a MAP Assignment","What was she talking about in the video when she had passed the message to the middle factor, and recuded the table to two variables and took the values from them as maximums?",,
"2013-05-28","PGM","MAP Estimation","Max Sum Message Passing","How do we find the max args of a group of factors?","Use belief propagation. Use simple factor summation at each step of the message passing algorithm (I think), and take the combination of arguments that yeilds the largest value. The value of the factor will match over different parameters","PGM notes, page 43"
"2013-05-28","PGM","MAP Estimation","Max Sum Message Passing","What do you do when the maxes are not unique?","Either make arbitrary changes to inputs in order to get different values, or use traceback procedure that builds MAP assignment one variable at a time.","DS notes, page 23"
"2013-05-06","PGM","Knowledge Engineering",,"What are the three pairs of choices to make in constructing models?","PGM notes page 31",
"2013-05-06","PGM","Knowledge Engineering",,"In predicting the weather based only on the attire of individuals entering a building, would it make sense to construct a Naive Bayes model where the clothing of individuals is independent given the weather?",,
"2013-05-06","PGM","Knowledge Engineering",,"When would one use a linear gaussian? a conditional linear gaussian?","PGM notes page 32",
"2013-04-30","PGM","Markov Networks",,"What is the new unnormalized probability function under log-linear models?","PGM notes, page 28",
"2013-05-02","PGM","Markov Networks",,"What is I-equivalence?",,
"2013-05-02","PGM","Markov Networks",,"In an undirected graph, what is a clique?","search online",
"2013-05-02","PGM","Markov Networks",,"What is the relevance of cliques in constructing a probability distribution for an undirected graph?","search online",
"2013-05-02","PGM","Markov Networks",,"What is a polytree?","search online",
"2013-05-02","PGM","Markov Networks",,"What is a directed tree?","search online",
"2013-04-30","PGM","Markov Networks",,"What does degenerative mean?",,
"2013-04-30","PGM","Markov Networks",,"What does it mean to capture independencies in P?","PGM notes, page 26",
"2013-04-30","PGM","Markov Networks",,"Why are sparse graphs desirable?","PGM notes, page 26",
"2013-04-30","PGM","Markov Networks",,"What is a minimal I-map? Will it capture I(P)?","PGm notes, page 26",
"2013-04-30","PGM","Markov Networks",,"What is a perfect map?","PGM notes, page 26",
"2013-04-30","PGM","Markov Networks",,"Is the diamond Markov map for A, B, C, D where P satisfies A indep from C given B, D and B indep from D given A, C a perfect map?","PGM notes, page 26",
"2013-04-30","PGM","Markov Networks",,"Are perfect maps unique?","PGM notes, page 27",
"2013-04-30","PGM","Markov Networks",,"What happens when we define w = -log(a)?","PGM notes, page 28",
"2013-04-30","PGM","Markov Networks",,"What is w in log-linear models? How are they developed?","PGM notes, page 28",
"2013-04-30","PGM","Markov Networks",,"What is mu used to define? What are some examples of different mu functions?","PGM notes, page 29",
"2013-04-30","PGM","Markov Networks",,"What is an MRF?","PGM notes, page 29",
"2013-04-30","PGM","Markov Networks",,"In shared features, what is the energy function applied to?","PGM notes, page 30",
"2013-04-30","PGM","Markov Networks",,"How do we define repeated features?","PGM notes, page 30",
"2013-04-30","PGM","Markov Networks",,"What are the benefits of using shared features in log-linear models?","PGM notes, page 30",
"2013-04-29","PGM","Markov Networks",,"What is a pairwise Markov network?","A pairwise Markov network is an undirected graph whose nodes at X1,...,Xn and each edge Xi-Xj is associated with a factor Psi(Xi, Xj)",
"2013-04-29","PGM","Markov Networks",,"How do we get the probability distribution of a pairwise Markov network?","multiply all factors in the network by each other and divide by the partition function, i.e. the normalizing constant, i.e. the sum of all factors",
"2013-04-29","PGM","Markov Networks",,"From a probability distribution of a Markov network, how do we get the probability distribution of a single pair?","reduce out the other factors",
"2013-04-29","PGM","Markov Networks",,"Consider a fully connected pairwise network over X1,...,Xn where each Xi has d values. How many parameters does this network have?","O(n^2 * d^2)",
"2013-04-29","PGM","Markov Networks",,"Why must we move away from the probability distribution construction introduced before in pairwise Markov networks?","Because there will be O(d^n) free parameters for a full probability distribution",
"2013-04-29","PGM","Markov Networks",,"What is a Gibbs distribution?","it is defined by general factors Phi_i(Di) where each D has a scope of more than 2 variables. big_phi = {phi_i(D1),...,phi_k(Dk)}. unnormalized measure of (X1,...,Xn) = product of all phi_i's of (Di). Partition function Z_phi = sum of all unnormalized measures over all X's. final Gibbs probability distribution is the partition function multiplied by the unnormalized measure.",
"2013-04-29","PGM","Markov Networks",,"What is an induced markov network of a Gibbs distribution?","It is the graph implied by the distribution functions.",
"2013-04-29","PGM","Markov Networks",,"When does P factorize over H?","PGM notes page 22",
"2013-04-29","PGM","Markov Networks",,"When is a trail in a markov network active?",,
"2013-04-29","PGM","Markov Networks",,"Why is it impractical to apply naive Bayes to problems in which lots of features are correlated?",,
"2013-04-29","PGM","Markov Networks",,"What is the definition of conditional random field, and how does it differ from Gibbs?",,
"2013-04-29","PGM","Markov Networks",,"What happens if you introduce a new factor phi(D), where D is in X?","PGM notes, page 24",
"2013-04-29","PGM","Markov Networks",,"What function do we use to represent our phi(D)'s?","PGM notes, page 24",
"2013-04-29","PGM","Markov Networks",,"What does it mean to say that two nodes X and Y are separated in H given Z?","PGM notes page 25",
"2013-04-29","PGM","Markov Networks",,"What is the relationship between independence and factorization in Markov networks?","PGM notes, page 25",
"2013-04-30","PGM","Markov Networks",,"What are features in log-linear models?","PGM notes, page 28",
"2013-05-15","PGM","PA2",,"How do you compute the number of parameters in a CPD?","m outcomes * n evidence states is the # of entries in the CPD; m-1 outcomes * n evidence states is the # of parameters",
"2013-05-15","PGM","PA2",,"What is a decoupled network?",,
"2013-05-15","PGM","PA2",,"How do you find the total number of independent paramters in a coupled network?","https://class.coursera.org/pgm-003/forum/thread?thread_id=255 krassimir's answer is right, just don't multiply by the number of different types of nodes",
"2013-05-14","PGM","PA2",,"How do I vectorize this shit?",,
"2013-05-14","PGM","PA2",,"In problem 5 (in assignment 2), how do you index genotype variables?","they are actually the variables of each individual",
"2013-05-13","PGM","PA2",,"In what order do variable assignments change in the assignment table?","first variable iterates through its values while holding the second constant, and so on for the third",
"2013-05-13","PGM","PA2",,"What is a gene copy?",,
"2013-05-16","PGM","PA3",,"Why are they called singleton factors?","because they operate on single characters--which are the 16x8 matrices",
"2013-04-29","PGM","Structured CPDs",,"What is the graphical model of a continuous variable?","Similar to other models--a handful of variables affect the observation variable",
"2013-04-29","PGM","Structured CPDs",,"What function represents this kind of model?","a linear Gaussian. For Y determined by X1,...,Xk, Y ~ N(w0 + sum(wi * Xi) ; stddev^2). variance does not depend on parents.",
"2013-04-29","PGM","Structured CPDs",,"What is a conditional linear gaussian?","Same as above, except Y is also affected by A. In this case, variance can depend on A. ",
"2013-04-29","PGM","Structured CPDs",,"What is the shape of the robot motion model?",,
"2013-04-25","PGM","Structured CPDs",,"What's the difficulty in using tabular representations of CPDs for all CPDs?","There are 2^number of parents of possibilities for a given node, leaving to huge CPD tables",
"2013-04-25","PGM","Structured CPDs",,"What is context-specific independence?","it's when P satisfies (X independent of Y given certain assignment(s) c GIVEN Z, assignment(s) c)",
"2013-04-25","PGM","Structured CPDs",,"What is a multiplexer CPD?","It is a tree structure where the main node has multiple dependencies, plus a dependency A which tells the main node which one of the other dependencies the main node is to take the value of. the main node depends on one of the values in some contexts, determined by the other dependency, and not in others.",
"2013-04-25","PGM","Structured CPDs",,"What is a noisy CPD?","It is a tree that separates the variables being activated or not from their probabilities in inducing the target variable to be true. there is also a leak probability, which is the probability of the target variable being activated on its own.",
"2013-04-25","PGM","Structured CPDs",,"What context-specific independencies are induced by a noisy OR CPD?","X1 is conditionally indpendent from X2 when we observe Y = 0, as Y = 0 blocks the trail of influence from Y to X.",
"2013-04-25","PGM","Structured CPDs",,"What is meant by there being no interaction between causes?","dunno, they can influence one another.",
"2013-04-25","PGM","Structured CPDs",,"In the sigmoid CPD, what happens when one Xi goes from 0 to 1?","the probability increases by a factor of e^wi.",
"2013-04-25","PGM","Structured CPDs",,"In the sigmoid CPD, what happens as the parents Xi are turned on, and the larger wi's are?","the more likely Y is true.",
"2013-04-29","PGM","Template Models",,"What is the markov assumption?","a stochastic process has the Markov property if the CPD of future states depends only on the present state.",
"2013-04-25","PGM","Template Models",,"What is a HMM?","It is a structured transition model which describes the CPD of each state of moving into each of the other states on the next temporal step",
"2013-04-25","PGM","Template Models",,"What is HMM a subset of?","It is a subclass of Dynamic Bayesian Networks.",
"2013-04-25","PGM","Template Models",,"What does it mean that HMMs seem unstructured at the level of R.V.'s?",,
"2013-04-25","PGM","Template Models",,"What is a plate model?","It is a graphical representation of objects of the same type and same probabilistic model.",
"2013-04-25","PGM","Template Models",,"What is the difference between nested and overlapping plates?","In nested plates, all models nested in another plate are explicitly affected by that plate's model. overlapping plates are for models that are not influenced by other models.",
"2013-04-25","PGM","Template Models",,"What are the input parameters?","They are parameters for each model that affect that model, independent (?) of the affects of other models",
"2013-04-25","PGM","Template Models",,"What is collective inference?","It is looking at a number of instantiations of these plates and observing behavior on an aggregate level--this gives us more power than just seeing how posterior probabilities are affected by changing our inputs (I think)",
"2013-04-25","PGM","Template Models",,"What is the plate dependency model?","For a template variable A(U1,...,Uk) where Ui are the object types, the variable has parents B1(U1),...,Bm(Um). Each U1 is a subset of the set {U1,...,Uk}. This is to say that you can't have indexes in parents that are not in the children.",
"2013-04-24","PGM","Template Models",,"What benefits do template models provide over normal bayesian networks?","None except that it's easier to construct large networks using the same CPDs",
"2013-04-24","PGM","Template Models",,"What assumptions do we make in temporal models?","markov assumption, time invariance",
"2013-04-24","PGM","Template Models",,"How do we factor the CPD of a transition model?","We're finding P(W`,V`,L`,F`,O`|WVLF). Use the chain rule. see notes.",
"2013-04-24","PGM","Template Models",,"What is a 2TBN?","It is a two-time-slice bayesian network. it is a model over X1, ..., Xn specified as a BN fragment such that (1) the nodes include X`1, X`n and a subset of X1,...,Xn, (2) only the nodes X`1 have parents and a CPD, (3) the 2TBN defines a conditional distribution P(X`|X) = Pi from 1 to n of P(X`i|Parent)",
"2013-04-24","PGM","Template Models",,"What is a DBN?","It is a Dynamic Bayesian Network over X1,...Xn defined by a 2TBN BN-> over X1,...,Xn, and a Bayesian network BN(0) over X(0)1,...,X(0)n",
